T   	x_agg
0   	170.2919343388860200
1   	169.3083904986254400
2   	168.6083260262272500
3   	168.0695999974513200
4   	167.6450971732922400
5   	167.3245577185841200
6   	167.0775986985787800
7   	166.8873608393060000
8   	166.7519195507371700
9   	166.6662843216763300
10  	166.6249479079343000
11  	166.6258722353954600
12  	166.6612635821519700
13  	166.7213714622214000
14  	166.8013177875505000
15  	166.8963679441122800
16  	166.9871401389351300
17  	167.0738269120088000
18  	167.1628819244398000
19  	167.2529731456512300
20  	167.3400826226064200
21  	167.4232715272695800
22  	167.5027163144605400
23  	167.5785854972243700
24  	167.6510400042698200
25  	167.7202335213204700
26  	167.7863128171031500
27  	167.8494180546635400
28  	167.9096830886714700
29  	167.9672357493439800
30  	168.0221981135908300
31  	168.0746867639553000
32  	168.1248130359025200
33  	168.1726832539756600
34  	168.2183989573256600
35  	168.2620571150884500
36  	168.3037503320702800
37  	168.3435670451741000
38  	168.3815917109870400
39  	168.4179049849232700
40  	168.4525838923055400
41  	168.4857019917460000
42  	168.5173295311738900
43  	168.5475335968405700
44  	168.5763782556191200
45  	168.6039246908980500
46  	168.6302313323599800
47  	168.6553539799183200
48  	168.6793459220769800
49  	168.7022580489620000
50  	168.7241389602663200
51  	168.7450350683365300
52  	168.7649906966196600
53  	168.7840481736785700
54  	168.8022479229774000
55  	168.8196285486245000
56  	168.8362269172572500
57  	168.8520782362407700
58  	168.8672161283480200
59  	168.8816727030777500
60  	168.8954786247632300
61  	168.9086631776153500
62  	168.9212543278384300
63  	168.9332787829502800
64  	168.9447620484324000
65  	168.9557284818305000
66  	168.9662013444201400
67  	168.9762028505469400
68  	168.9857542147464400
69  	168.9948756967426700
70  	169.0035866444219700
71  	169.0119055348723000
72  	169.0198500135756200
73  	169.0274369318364000
74  	169.0346823825255500
75  	169.0416017342154500
76  	169.0482096637786600
77  	169.0545201875198400
78  	169.0605466909058800
79  	169.0663019569585400
80  	169.0717981933687000
81  	169.0770470583907000
82  	169.0820596855711500
83  	169.0868467073642300
84  	169.0914182776849400
85  	169.0957840934471000
86  	169.0999534151311300
87  	169.1039350864275000
88  	169.1077375529946500
89  	169.1113688803742400
90  	169.1148367710983700
91  	169.1181485810283000
92  	169.1213113349569400
93  	169.1243317415095000
94  	169.1272162073731200
95  	169.1299708508868000
96  	169.1326015150186200
97  	169.1351137797600200
98  	169.1375129739614400
99  	169.1398041866353300
100 	169.1419922777511400
101 	169.1440818885434000
102 	169.1460774513567700
103 	169.1479831990477000
104 	169.1498031739624300
105 	169.1515412365119500
106 	169.1532010733597200
107 	169.1547862052424600
108 	169.1562999944374300
109 	169.1577456518945000
110 	169.1591262440469700
111 	169.1604446993158600
112 	169.1617038143216400
113 	169.1629062598161000
114 	169.1640545863474000
115 	169.1651512296700700
116 	169.1661985159116500
117 	169.1671986665067800
118 	169.1681538029088500
119 	169.1690659510904000
120 	169.1699370458400000
121 	169.1707689348664000
122 	169.1715633827178600
123 	169.1723220745247700
124 	169.1730466195742800
125 	169.1737385547235700
126 	169.1743993476599000
127 	169.1750304000137500
128 	169.1756330503317500
129 	169.1762085769161000
130 	169.1767582005360000
131 	169.1772830870167000
132 	169.1777843497129400
133 	169.1782630518701500
134 	169.1787202088798000
135 	169.1791567904333200
136 	169.1795737225786800
137 	169.1799718896849600
138 	169.1803521363180500
139 	169.1807152690320200
140 	169.1810620580802400
141 	169.1813932390486500
142 	169.1817095144167200
143 	169.1820115550469300
144 	169.1823000016078400
145 	169.1825754659335500
146 	169.1828385323208600
147 	169.1830897587688600
148 	169.1833296781626600
149 	169.1835587994034400
150 	169.1837776084882700
151 	169.1839865695406200
152 	169.1841861257948700
153 	169.1843767005368000
154 	169.1845586980009800
155 	169.1847325042286300
156 	169.1848984878860400
157 	169.1850570010470300
158 	169.1852083799392700
159 	169.1853529456578000
160 	169.1854910048460300
161 	169.1856228503460800
162 	169.1857487618201500
163 	169.1858690063433200
164 	169.1859838389705400
165 	169.1860935032773300
166 	169.1861982318765200
167 	169.1862982469117000
168 	169.1863937605281200
169 	169.1864849753232800
170 	169.1865720847760300
171 	169.1866552736573200
172 	169.1867347184221400
173 	169.1868105875835000
174 	169.1868830420703000
175 	169.1869522355683300
176 	169.1870183148463400
177 	169.1870814200676000
178 	169.1871416850867400
179 	169.1871992377341500
180 	169.1872542000868400
181 	169.1873066887273800
182 	169.1873568149913800
183 	169.1874046852034600
184 	169.1874504009027800
185 	169.1874940590586800
186 	169.1875357522760300
187 	169.1875755689917200
188 	169.1876135936625500
189 	169.1876499069439000
190 	169.1876845858613000
191 	169.1877177039734000
192 	169.1877493315282400
193 	169.1877795356122000
194 	169.1878083802923500
195 	169.1878359267521700
196 	169.1878622334216700
197 	169.1878873561010200
198 	169.1879113480791000
199 	169.1879342602468600
200 	169.1879561412051800
